filname,subject,session,g1,g2,g3,g4,g5,g6,g7,g8,accuracy,w,at,alpha
data/suzanne_0.dat,suza,1,0.96,0.948198,0.947846,0.920588,0.911111,0.973094,0.959641,0.957871,0.947294,20,0.2,0.8
data/mirjam_0.dat,mirj,1,0.776805,0.899777,0.871111,0.758112,0.84,0.847682,0.633333,0.915929,0.817844,20,0.2,0.8
data/marije_0.dat,mari,1,0.929385,0.959641,0.896074,0.805556,0.888889,0.907029,0.946882,0.90553,0.904873,20,0.2,0.8
data/dan_0.dat,dan_,1,0.950893,0.924612,0.786667,0.568862,0.977778,0.977925,0.969027,0.975446,0.891401,20,0.2,0.9
data/jan_0.dat,jan_,1,0.955752,0.918502,0.926667,0.964706,0.913526,0.966814,0.977876,0.969027,0.949109,20,0.2,0.9
data/lien_0.dat,lien,1,0.929204,0.960177,0.988938,0.946746,0.891353,0.931111,0.902655,0.944568,0.936844,20,0.2,0.9
data/maki_0.dat,maki,1,0.926667,0.960177,0.838496,0.99705,0.926991,0.975664,0.913526,0.937778,0.934543,20,0.2,0.9
data/marco_0.dat,marc,1,0.957684,0.986486,0.966741,0.933934,0.914221,0.88196,0.879271,0.959184,0.934935,20,0.2,0.9
data/nico_0.dat,nico,1,0.96696,0.931111,0.966814,0.902367,0.828889,0.846667,0.94469,0.956044,0.917943,20,0.2,0.9
data/suzanne_0.dat,suza,1,0.96,0.948198,0.950113,0.923529,0.913333,0.973094,0.961883,0.960089,0.94878,20,0.2,0.9
data/mirjam_0.dat,mirj,1,0.770241,0.879733,0.862222,0.761062,0.846667,0.834437,0.62,0.913717,0.81101,20,0.2,0.9
data/marije_0.dat,mari,1,0.927107,0.959641,0.896074,0.805556,0.879819,0.907029,0.946882,0.903226,0.903167,20,0.2,0.9
data/dan_0.dat,dan_,1,0.950893,0.924612,0.788889,0.565868,0.977778,0.977925,0.971239,0.975446,0.891581,20,0.2,1
data/jan_0.dat,jan_,1,0.955752,0.9163,0.924444,0.964706,0.915743,0.966814,0.975664,0.969027,0.948556,20,0.2,1
data/lien_0.dat,lien,1,0.929204,0.960177,0.984513,0.943787,0.891353,0.931111,0.902655,0.944568,0.935921,20,0.2,1
data/maki_0.dat,maki,1,0.926667,0.960177,0.834071,0.9941,0.926991,0.975664,0.913526,0.937778,0.933622,20,0.2,1
data/marco_0.dat,marc,1,0.957684,0.988739,0.966741,0.936937,0.914221,0.88196,0.879271,0.959184,0.935592,20,0.2,1
data/nico_0.dat,nico,1,0.96696,0.931111,0.969027,0.905325,0.828889,0.848889,0.94469,0.958242,0.919142,20,0.2,1
data/suzanne_0.dat,suza,1,0.96,0.95045,0.952381,0.923529,0.915556,0.973094,0.961883,0.962306,0.9499,20,0.2,1
data/mirjam_0.dat,mirj,1,0.765864,0.877506,0.857778,0.764012,0.842222,0.825607,0.606667,0.915929,0.806948,20,0.2,1
data/marije_0.dat,mari,1,0.924829,0.959641,0.896074,0.805556,0.873016,0.907029,0.944573,0.903226,0.901743,20,0.2,1
data/dan_45.dat,dan_,2,0.939866,0.900442,0.828889,0.871257,0.931416,0.90708,0.800885,0.841518,0.877669,20,0.2,0.1
data/jan_45.dat,jan_,2,0.869469,0.800443,0.851441,0.727273,0.878855,0.827051,0.900442,0.946903,0.850235,20,0.2,0.1
data/lien_45.dat,lien,2,0.785398,0.889625,0.84989,0.870206,0.86918,0.977925,0.931111,0.904867,0.884775,20,0.2,0.1
data/maki_45.dat,maki,2,0.851441,0.900222,0.853333,0.911243,0.906874,0.942605,0.944568,0.918142,0.903553,20,0.2,0.1
data/marco_45.dat,marc,2,0.931567,0.88521,0.847345,0.869823,0.867841,0.9117,0.947137,0.864444,0.890633,20,0.2,0.1
data/nico_45.dat,nico,2,0.951542,0.891593,0.855876,0.876471,0.900662,0.884444,0.933775,0.896018,0.898798,20,0.2,0.1
data/suzanne_45.dat,suza,2,0.933775,0.945055,0.875831,0.872781,0.860927,0.926667,0.89207,0.931264,0.904796,20,0.2,0.1
data/mirjam_45.dat,mirj,2,0.851441,0.839207,0.906667,0.751479,0.931111,0.917778,0.933921,0.899777,0.878923,20,0.2,0.1
data/marije_45.dat,mari,2,0.89207,0.927273,0.901786,0.920973,0.891403,0.90991,0.929705,0.880562,0.90671,20,0.2,0.1
data/dan_45.dat,dan_,2,0.953229,0.909292,0.848889,0.89521,0.94469,0.946903,0.840708,0.919643,0.90732,20,0.2,0.2
data/jan_45.dat,jan_,2,0.904867,0.802661,0.866962,0.785924,0.914097,0.878049,0.911504,0.977876,0.880243,20,0.2,0.2
data/lien_45.dat,lien,2,0.807522,0.898455,0.909492,0.893805,0.886918,0.971302,0.94,0.931416,0.904864,20,0.2,0.2
data/maki_45.dat,maki,2,0.89357,0.922395,0.9,0.964497,0.962306,0.95585,0.955654,0.931416,0.935711,20,0.2,0.2
data/marco_45.dat,marc,2,0.951435,0.927152,0.865044,0.887574,0.894273,0.931567,0.938326,0.948889,0.918033,20,0.2,0.2
data/nico_45.dat,nico,2,0.980176,0.931416,0.875831,0.829412,0.966887,0.9,0.960265,0.949115,0.924138,20,0.2,0.2
data/suzanne_45.dat,suza,2,0.95585,0.947253,0.904656,0.890533,0.896247,0.942222,0.931718,0.955654,0.928017,20,0.2,0.2
data/mirjam_45.dat,mirj,2,0.89357,0.874449,0.908889,0.786982,0.96,0.942222,0.944934,0.902004,0.901631,20,0.2,0.2
data/marije_45.dat,mari,2,0.905286,0.95,0.928571,0.978723,0.936652,0.936937,0.922902,0.899297,0.932296,20,0.2,0.2
data/dan_45.dat,dan_,2,0.957684,0.929204,0.866667,0.898204,0.946903,0.940265,0.853982,0.933036,0.915743,20,0.2,0.3
data/jan_45.dat,jan_,2,0.926991,0.800443,0.904656,0.797654,0.92511,0.898004,0.922566,0.973451,0.89361,20,0.2,0.3
data/lien_45.dat,lien,2,0.814159,0.909492,0.93819,0.905605,0.900222,0.975717,0.928889,0.946903,0.914897,20,0.2,0.3
data/maki_45.dat,maki,2,0.909091,0.926829,0.92,0.973373,0.968958,0.960265,0.957871,0.951327,0.945964,20,0.2,0.3
data/marco_45.dat,marc,2,0.958057,0.935982,0.920354,0.928994,0.898678,0.942605,0.942731,0.96,0.935925,20,0.2,0.3
data/nico_45.dat,nico,2,0.980176,0.94469,0.922395,0.841176,0.971302,0.904444,0.962472,0.955752,0.935301,20,0.2,0.3
data/suzanne_45.dat,suza,2,0.962472,0.953846,0.940133,0.89645,0.905077,0.955556,0.960352,0.966741,0.942578,20,0.2,0.3
data/mirjam_45.dat,mirj,2,0.924612,0.896476,0.902222,0.772189,0.982222,0.928889,0.938326,0.890869,0.904476,20,0.2,0.3
data/marije_45.dat,mari,2,0.911894,0.965909,0.930804,0.984802,0.947964,0.952703,0.913832,0.903981,0.938986,20,0.2,0.3
data/dan_45.dat,dan_,2,0.959911,0.935841,0.884444,0.913174,0.949115,0.942478,0.860619,0.941964,0.923443,20,0.2,0.4
data/jan_45.dat,jan_,2,0.929204,0.809313,0.915743,0.794721,0.929515,0.904656,0.931416,0.971239,0.898226,20,0.2,0.4
data/lien_45.dat,lien,2,0.816372,0.916115,0.958057,0.908555,0.909091,0.975717,0.928889,0.960177,0.921622,20,0.2,0.4
data/maki_45.dat,maki,2,0.911308,0.929047,0.92,0.988166,0.97561,0.960265,0.944568,0.95354,0.947813,20,0.2,0.4
data/marco_45.dat,marc,2,0.962472,0.942605,0.955752,0.931953,0.903084,0.953642,0.951542,0.964444,0.945687,20,0.2,0.4
data/nico_45.dat,nico,2,0.980176,0.960177,0.944568,0.844118,0.966887,0.906667,0.966887,0.957965,0.940931,20,0.2,0.4
